afsætning,21
arabisk,2
astronomi,13
billedkunst,99
biologi,328
bioteknologi,41
dansk,339
dansk som andet sprog,4
datalogi,0
design,52
dramatik,10
engelsk,344
erhvervsjura,14
erhvervsøkonomi,79
filosofi,23
finansiering,5
fransk,105
fysik,284
færøsk,0
geografi,203
geovidenskab,0
græsk,4
grønlandsk,8
historie,148
idehistorie,2
idræt,239
informatik,48
innovation,14
international teknologi & kultur,0
international økonomi,13
it & kommunikation,0
italiensk,7
japansk,1
kemi,322
kinesisk,5
kulturforståelse,1
latin,58
markedskommunikation,0
matematik,701
materialeteknologi,1
mediefag,45
multimedier,0
musik,94
naturfag,3
oldtidskundskab,84
organisation,2
programmering,8
psykologi,198
religion,123
retorik,9
russisk,1
samfundsfag,241
spansk,110
statik,1
statistik,0
teknikfag,6
teknologi,59
tyrkisk,0
tysk,161
virksomhedsøkonomi,33
total,4716
