billedkunst og design,151,31,11
biologi,328,157,69
dansk,339,87,53
dramatik,10,16,10
engelsk,344,66,43
erhvervsøkonomi og virksomhedsøkonomi,112,278,799
filosofi,23,18,18
fransk,105,7,2
fysik,284,124,41
geografi,203,45,0
historie,148,90,37
idræt,239,92,54
informatik og programmering,56,80,61
italiensk,7,4,0
kemi,322,47,25
kinesisk,5,22,2
latin,58,1,2
matematik,701,48,25
mediefag,45,91,38
musik,94,46,15
oldtidskundskab og græsk,88,2,2
psykologi,198,221,201
religion,123,13,15
samfundsfag,241,23,10
spansk,110,12,2
tysk,161,11,2
